ke	k @
ngemajakka	NG @ m a dZ a KK k a
ngelurus	NG @ l u r u s
ngelunjak	NG @ l u n dZ a KK
ngelukis	NG @ l u k i s
ngeludah	NG @ l u d a h
ngelubi	NG @ l u b i
ngelua	NG @ l w a
ngelobi	NG @ l o b i
ngelingkah	NG @ l i NG k a h
ngelimpas	NG @ l i m p a s
ngeletupka	NG @ l @ t o p k a
ngelesapka	NG @ l @ s a p k a
ngelenyauka	NG @ l @ NJ a u k a
ngelenoh	NG @ l i n o h
ngelela	NG @ l e l a
ngelebuska	NG @ l @ b u s k a
ngelatika	NG @ l a t i k a
ngelasu	NG @ l a s u
ngelara	NG @ l a r a
ngelamatuku	NG @ l a m a t u k u
ngelaburka	NG @ l a b u r k a
ngeksport	NG e KK s p o t
ngejampatka	NG @ dZ a m p a t k a
ngeing	NG @ i NG
ngedit	NG @ d e t
ngecop	NG @ tS o p
ngechuri	NG @ tS h u r i
ngechul	NG @ tS @ l
ngechaj	NG @ tS h a dZ
ngecaj	NG @ tS a dZ
ngebap	NG @ b a p
nge	NG
ngayaka	NG a j a k a
ngasap	NG a s a p
ngaruska	NG a r u s k a
ngaru	NG a r u
ngarapk	NG a r a p k
ngarahka	NG a r a h k a
ngankat	NG a n k a t
nganjur	NG a n dZ o
nganggapka	NG a NG g a p k a
nganbika	NG a n b i k @
ngampuh	NG a m p o h
ngampir	NG a m p e
ngamo	NG a m o
ngambikka	NG a m b e KK k a
ngambiaka	NG a m b j a k a
ngamal	NG a m a l
ngama	NG a m a
ngagitka	NG a g e t k a
ngaggai	NG a g a i
ngagaisida	NG a g aj s i d a
ngagaihka	NG a g a i h k a
ngachu	NG a tS h u
netball	n e t b o l
netak	n e t a KK
neser	n e z @
nerupung	n @ r u p u NG
neritik	n @ r i t e KK
nerit	n @ r i t
nerim	n @ r i m
nerantingka	n @ r a n t i NG k a
neranting	n @ r a n t i NG
nerantangka	n @ r a n t a NG k @
nepu	n @ p u
nentapka	n @ n t a p k a
nengkilaka	n @ NG k i l a k a
nengkeman	n @ NG k @ m @ n
nengkani	n e NG k a n i
nenggelamka	n @ NG g @ l a m k a
nenggali	n @ NG g a l i
nengeri-nengeri	n e NG @ r i n @ NG @ r i
nenga	n @ NG a
nenduka	n @ n d u k a
nendang	n @ n d a NG
nemuaika	n @ m w a i k a
nemban	n e m b @ n
neladan	n @ l a d a n
neison	n @ i s @ n
neglalau	n e g l a l aw
negi	n @ g i
negemeratka	n @ g @ m e r a t k a
negam	n e g a m
nedat	n @ d a t
nebalka	n @ b a l k a
neb	n e b
ndai	n d @ i
ncbm	e n s i b i e m
naysriah	n e s r j a h
naydi	n a j d i
naya	n a j a
nawie	n a w i 
natuk	n a t o KK
natu	n a t u
natip	n a t i p
nataika	n a t a i k a
nasip	n a s i p
narudin	n a r u d i n
narawai	n a r a w aj
narang	n a r a NG
napat	n a p a t
napai	n a p aj
nangup	n a NG o p
nangkai	n a NG k aj
nanggika	n a NG g i k @
nanggamka	n a NG g a m k a
nangam	n a NG a m
nandunya	n a n d u NJ @
nanduka	n a n d u k a
nandai	n a n d aj
nampun	n a m p u n
nampil	n a m p e l
nampakka	n a m p a KK k a
nambur	n a m b o
nambang	n a m b a NG
nalin	n a l i n
nalang	n a l a NG
nakaka	n a k a k a
nakahka	n a k a h k a
nahrim	n a h r i m
nagsuh	n a g s o h
naggai	n a g a i
nagagai	n a g a g a i
nadaika	n a d aj k a
nachah	n a tS a h
nabakka	n a b a KK k a
myset	m aj s e t
myraig	m aj r e g
myf	m aj f
mycenthe	m aj s @ n t @
muzahar	m u z a h a
muyiddin	m u i d i n
muyang	m u j a NG
mutalka	m u t a l k a
muta	m u t a
musyati	m u SS a t i
muruk	m u r o KK
murnihayati	m u r n i h a j a t i
murih	m u r e h
munyinya	m u NJ i NJ @
munyika	m u NJ i k a
munti	m u n t i
muntas	m u n t a s
mungkalka	m u NG k a l k a
mungga	m u NG g a
mundai	m u n d @ i
munang	m u n a NG
multistrada	m a l t i s t r a d a
mulauka	m u l aw k a
mukul	m u k u l
mukat	m u k a t
mukan	m u k a n
mukah-balingian	m u k a h b a l i NG j a n
muding	m u d i NG
mudak	m u d a KK
mubok	m u b o KK
muaska	m w a s k a
muam	m w a m
mtun	e m t i j u e n
msssts	e m e s e s e s t i e s
mssrd	e m e s e s a r d i
msia	m SS @
mpulop	e m p i j u l @ p
mpub	e m p i j u b i
mpsu	e m p i e s j u
mpsarikei	e m p i e s e r i k @ i
mppt	e m p i p i t i
mppkas	e m p i p i k e e s
mpkas	e m p i k e e s
mpgn	e m p i dZ i e n
mpcs	e m p i s i e s
motovasi	m o t o v a s i
motm	m o t i e m
mostapha	m o s t a f a
morshiddin	m o r SS i d i n
moonly	m u n l i
monseri	m o n s @ r i
mokshen	m o KK SS @ n
moksen	m o k s @ n
mohm	m o m
mohammat	m o h a m a t
mmea	e m e m j a
mkln	e m k e e l e n
mkjrbm	e m k e dZ e a r b i e m
miut	m i u t
mitku	e m aj t i k e j u
miri-sibuti	m i r i s i b u t i
miri-pujut	m i r i p u dZ u t
miri-pandaruan	m i r i p a n d a r u a n
miri-airport	m i r i e r p o t
minya	m i NJ @
mintin	m i n t i n
mintas	m i n t a s
minsai	m i n s aj
minimun	m i n i m u n
minggan	m i NG g a n
mimit-mimit	m i m i t m i m i t
miluk	m i l u KK
milionaire	m i l j @ n e r
milau	m i l aw
mikrohidro	m aj k r o h i d r o
mikai	m i k aj
mijod	m i dZ o d
migai	m i g aj
miga	m i g @
miduk	m i d o KK
mhpb	e m e tS p i b i
mhbn	e m e tS b i e n
mfsb	e m e f e s b i
meuk	m @ o KK
metropoliteknik	m e t r o p o l i t e KK n i KK
metro-politeknik	m e t r o p o l i t e KK n i KK
meteri	m @ t @ r i
metereologi	m @ t @ r i o l o dZ i
metadologi	m e t a d o l o dZ i
mesau	m @ s aw
merurut	m @ r u r u t
meruji	m @ r u dZ i
merudu	m @ r u d u
merom	m @ r o m
meresakenyit	m @ r @ s a k e n j i t
meremi	m @ r @ m i
merema	m @ r @ m @
meregie	m @ r @ g i
merat	m @ r a t
meragang	m @ r a g a NG
mepi	e m i p i aj
meo-net	m j o n @ t
menuapia	m @ n w a p i j @
menuanya	m @ n w @ NJ @
mentingka	m @ n t i NG k a
menjau	m @ n dZ aw
menijing	m @ n i dZ i NG
menih	m @ n i h
menguasa	m @ NG w a s @
menggin	m @ NG g i n
menggi	m @ NG g i
menggau	m @ NG g aw
mengakang	m @ NG a k a NG
menda	m @ n d a
menaul	m @ n a u l
memua	m @ m w a
memora	m e m o r a
memesi	m @ m @ s i
memc	e m i e m s i
membrance	m @ m b r @ n s
memaloh	m @ m a l o h
meluda	m @ l u d a
melit	m @ l i t
melikat	m @ l i k a t
melepong	m @ l @ p o NG
melema	m @ l @ m a
melanjan	m @ l a n dZ a n
melaki-bini	m @ l a k i b i n i
melai	m @ l a i
melabu	m @ l a b u
mekit	m @ k e t
mejawah	m e dZ a w a h
megab	m e g a b
medah	m e d a h
mechang	m e k a NG
meba	m e b a
mdahka	e m d a h k a
mcr	e m s i a r
mbkk	e m b i k e k e
mazalan	m a z a l a n
mayur	m a j o r
mayh	m e h
mayauh	m a j aw o h
mayah	m a j a h
maxvin	m e KK s v i n
mawong	m a w o NG
mawas	m a w a s
matzain	m e z aj n
matajam	m a t a dZ a m
matahka	m a t a h k a
matadeng-selangau	m a t @ d e NG s @ l a NG aw
masterplan	m a s t @ r p l e n
massam	m a s a m
masrun	m a s r u n
masli	m a s l i
masland	m a s l @ n d
masl	m a s l
maskat	m a s k a t
masely	m a s l i
masahor	m a s a h o
masagus	m a s a g u s
masab	m a s a b
mas-airasia	m a s e r e SS @
marylene	m e r @ l i n
marup	m a r o p
marukka	m a r o KK k a
marimuthiah	m a r i m u t j a h
marilyne	m a r i l i n 
marikan	m a r i k a n
marajuta	m a r a dZ u t @
marabahaya	m a r a b a h a j @
mapus	m a p @ s
mapoh	m a p o h
manustka	m a n u s t k a
mansia	m e n SS @
manjuk	m a n dZ o KK
manju	m a n dZ u
manjan	m a n dZ a n
mangsang	m a NG s a NG
mangki	m a NG k i
manggoi	m a NG g o i
mangat	m a NG a t
mandau	m a n d aw
mandakka	m a n d a KK k a
mampul	m a m p u l
mamora	m a m o r a
mambong-sarig	m a m b o NG s a r i g
malyasia	m a l j a s j a
malupa	m a l u p a
malong	m a l o NG
maloh	m a l o h
maldive	m a l d i v
malaysisa	m @ l e s i s @
malaysi	m @ l e s j
maioh	m aj o h
maing	m aj NG
mahlie	m a h l i
mahfoz	m a h f o z
magenese	m a g @ n i s
magdeline	m e g d l aj n
magangku	m a g a NG k u
maga	m a g a
madzar	m a d z a
madup	m a d o p
madrassah	m a d r a s a h
mading	m a d i NG
madihi	m a d i h i
madelina	m e d @ l i n a
madat	m a d a t
madai	m a d aj
madahmayuh	m a d a h m a j o h
madahkla	m a d a h k l a
madahkaraban	m a d a h k a r a b a n
madahkanaka	m a d a h k a n a k a
machis	m @ SS i s
machau	m a tS aw
macahm	m @ k e m
lynas	l i n a s
lwf	e l d a b l j u e f
luyang	l u j a NG
luyan	l u j a n
luwang	l u w a NG
lutau	l u t aw
lusong	l u s o NG
lusom	l @ s @ m
lus	l @ s
luntang	l u n t a NG
lungat	l u NG a t
lundai	l u n d @ i
lumparka	l u m p a r k a
lumbur	l u m b o
luho	l u h o
lugat	l u g a t
lugad	l u g a d
luboh	l u b o h
ltkp	e l t i k e p i
lsef	e l e s i e f
lpks	e l p i k e e s
lovecomes	l @ v k a m s
loung	l o NG
lorentossa	l o r e n t o s a
longkong	l o NG k o NG
lok-lok	l o KK l o KK
loba	l o b @
loas	l o s
lmf	e l e m e f
liveng	l i v e NG
liveable	l aj v @ b @ l
liturgi	l i t @ dZ i
litis	l i t i s
litericha	l i t @ r i tS a
literasyen	l i t @ r @ SS @ n
lipeh	l i p e h
liok	l i o KK
linsum	l i n s o m
linhan	l i n h a n
lingoh	l i NG g o h
lingkuk	l i NG k o KK
linggir	l i NG g e
linggih	l i NG g e h
lindalyn	l i n d a l i n
limbun	l i m b u n
limban	l i m b a n
lilih	l i l i h
lihi	l i h i
ligit	l i g e t
lidang	l i d a NG
libri	l i b r i
libin	l i b i n
liberalise	l i b @ r a l i s
libarary	l i b a r @ r i
liansin	l j a n s i n
lge	l dZ
lgcd	e l dZ i s i d i
leyta	l e j t @
levoh	l @ v o h
lerenya	l e r @ NJ @
lenuh	l @ n o h
lensat	l e n s a t
lengvkas	l @ NG v i k a s
lengkasku	l @ NG k a s k u
lenak	l e n a KK
lempa	l @ m p @
lembat	l @ m b a t
leletan	l @ l e t a n
lelangun	l @ l a NG u n
lef	l e f
leezuizita	l i z u i z i t a
ledom	l d @ m
lecherer	l @ tS @ r @
lebung	l @ b o NG
lebas	l @ b a s
lebaan	l @ b a KK a n
layau	l a j aw
lavang	l a v a NG
latik	l a t i KK
lasong	l a s o NG
lasi	l a s i
lascelles	l e s e l z
lasa	l a s a
lanyun	l a NJ u n
lansar	l a n s a
langgie	l a NG g i
langgi	l a NG g i
landu	l a n d u
landsoper	l a n d s @ p @
lanchat	l a n tS e t
lambong	l a m b o NG
lallu	l a l u
lallang	l a l a NG
lakit	l a k e t
lakis	l a k i s
laki-bini	l a k i b i n i
lakap	l a k a p
lajo	l a dZ o
laiseh	l aj s @ h
ladi	l a d i
kwo	k w o
kuyor	k u j @
kusing	k e j u z i NG
kusau	k u s aw
kuraya	k u r a j a
kurai	k u r aj
kuon	k w o n
kunjan	k u n dZ a n
kungsi	k u NG s i
kungee	k u NG i
kundum	k u n d o m
kuncha	k u n tS h a
kumuran	k u m o r a n
kumplin	k u m p l i n
kumangku	k u m a NG k u
kumang-keling	k u m a NG k @ l i NG
kulu	k u l u
kuka	k u k a
kuie	k u i
kuching-samarahan	k u tS i NG s a m a r a h a n
kuching-mukah-kuching	k u tS i NG m u k a h k u tS i NG
kuching-jakarta	k u tS i NG dZ a k a r t a
kuchig	k u tS i g
kubaan	k u b a KK a n
kuarang	k w a r a NG
kual	k w a l
ktw	k e t i d a b l j u
ktp	k e t i p i
ktfd	k e t i e f d
kspd	k e e s p i d i
kristus	k r i s t @ s
krisi	k r i s i
krematorium	k r e m @ t o r j @ m
kredit-i	k r e d i t i
kprk	k e p i a r k e
kppb	k e p i p i b i
kppa	k e p i p i e
kpdnk	k e p i d i e n k e
kosep	k o s i p i
korido	k o r i d o
koprat	k o p r a t
kontrekta	k o n t r e KK t a
kontrakta	k o n t r a KK t a
konterikter	k o n t e r i KK t @
konsulate	k o n s u l a t @
komuiti	k o m u j t i
komtiti	k o m t i t i
komplikasyen	k o m p l i k a SS @ n
komplex	k o m p l e KK s
komoti	k o m o t i
komoniti	k o m o n i t i
komissioner	k o m i SS @ n @
kollywood	k o l i w u d
ko-kokurikulum	k o k o k u r i k u l o m
kmr	k e e m a
klambu	k l a m b u
kkub	k e k e j u b i
kjd	k e dZ e d i
kisi	k i s i
kirum	k i r @ m
kio	k i o
kinyang	k i NJ a NG
killau	k i l aw
kili	k i l i
kilde	k i l d @
kiing	k i NG
kifli	k i f l i
kickdefella	k i k d @ f e l a
kichap	k i tS a p
kibak	k i b a KK
khusyairy	x u SS aj r i
khusyairi	x u SS a i r i
khairunislah	x aj r u n i s l a h
kevuk	k @ v o KK
keudah	k @ u d @
kettha	k @ t a
ketit	k @ t e t
ketisi	k @ t i s i
keti	k @ t i
ketetujuh	k @ t @ t u dZ o h
ketegalka	k @ t @ g a l k a
ketapu	k @ t a p u
ketagal	k @ t a g a l
kesuling	k @ s u l i NG
kesseh	k @ s e h
kesindu	k @ s i n d u
keru	k @ r u
kerta	k @ r t a
keron	k @ r o n
kerejsama	k @ r @ dZ s a m @
keranka	k @ r a n k @
kerabangan	k @ r a b a NG a n
kepuas	k @ p w a s
kepemadu	k @ p @ m a d u
kepatut	k @ p a t u t
kenge	k e n dZ
kendua	k @ n d w a
kemua	k @ m w a
kemayuh	k @ m a j o h
kemanah	k @ m a n a h
kemai	k @ m aj
kelon	k @ l o n
kelinda	k @ l i n d a
kelimut	k @ l i m u t
kelimaph	k @ l i m a f
kelimah	k @ l i m a h
kelida	k @ l i d a
kelempaika	k @ l @ m p aj k a
keledai	k @ l @ d @ i
kelapis	k @ l a p i s
kelambi	k @ l a m b i
kelaka	k @ l a k @
kekuchah	k @ k u tS a h
kekebut	k @ k @ b u t
kekasak	k @ k a s a KK
kekas	k @ k a s
kekalau	k @ k a l aw
kejai	k @ dZ a i
kegan	k @ g a n
kedundung	k @ d u n d o NG
kediatuku	k @ d j a t u k u
kedeney	k @ d @ n i
kechot	k @ tS o t
kebuh	k @ b o h
kebisi	k @ b i s i
kebangai	k @ b a NG aj
kaunsilor	k aw n s i l o
kaunsil	k aw n s e l
katoi	k a t oj
katibas-tekalit	k a t i b a s t @ k a l e t
kathedral	k e t @ d r a l
kathederal	k e t @ d @ r @ l
katedral	k a t @ d r a l
kasing	k a s i NG
kasihka	k a s e h k a
kasak	k a s a KK
karu	k a r u
karie	k a r i
kargi	k a r g i
karap	k a r a p
kapung	k a p o NG
kapu	k a p u
kaptain	k a p t @ n
kapok	k a p o KK
kapit-song-kanowit	k a p i t s o NG k a n o w i t
kapat	k a p a t
kaong	k a o NG
kanyong	k a n j o NG
kanawang	k a n a w a NG
kami-nyukung-pesaka-pemerindang	k a m i NJ u k o NG p @ s a k @ p @ m @ r i n d a NG
kambrie	k a m b r i
kamarow	k a m a r o
kamarlin	k a m a r l i n
kalom	k a l o m
kalida	k a l i d a
kalenda	k a l e n d @
kalba	k a l b a
kajat	k a dZ a t
kajan	k a dZ a n
kafeina	k a f i n a
kabuluh	k a b u l o h
kabor	k a b o
kabanku	k a b a n k u
k-society	KK s @ s aj @ t i
jva	dZ e v i e
juvena	dZ u v e n a
jusery	dZ u s @ r i
jurutenaga	dZ u r u t @ n a g @
jurem	dZ u r e m
junna	dZ u n a
junerason	dZ u n @ r e s @ n
junau	dZ u n aw
jummat	dZ u m a t
jukie	dZ u k i
juboh	dZ u b o h
juata	dZ w a t @
jtpgn	dZ e t i p i dZ i e n
jsme	dZ e e s e m i
jpms	dZ e p i e m e s
jpls	dZ e p i e l e s
jpkeheb	dZ e p i k @ h e b
jpbbns	dZ e p i b i b i e n e s
joslee	dZ o s l i
jolanda	dZ o l a n d @
johnnica	dZ o n i k a
johnnes	dZ o n s
johnanthan	dZ o h n a n t h a n
johin	dZ o h i n
johen	dZ o h @ n
johanis	dZ o h a n i s
johanif	dZ o h a n i f
jogerton	dZ o g @ t @ n
jodia	dZ o d j a
jksh	dZ e k e e s e tS
jkpkpbppr	dZ e k e p i k e p i b i p i p i a r
jkpd	dZ e k e p i d i
jitwil	dZ i t w e l
jitam	dZ i t a m
jisu	dZ i s u
jipau	dZ i p aw
jinta	dZ i n t a
jinnie	dZ i n i
jimbu	dZ i m b u
jimban	dZ i m b a n
jiliyang	dZ i l i j a NG
jetik	dZ e t i KK
jet-ski	dZ e t s k i
jereman	dZ @ r @ m a n
jeranggau	dZ @ r a NG g aw
jephari	dZ e p h a r i
jenging	dZ e n dZ i NG
jenarino	dZ @ n a r i n o
jenal	dZ @ n a l
jenai	dZ @ n a i
jemukan	dZ @ m u k a n
jemen	dZ @ m @ n
jemeb	dZ @ m @ b
jembu	dZ @ m b u
jelukung	dZ @ l u k o NG
jelia	dZ @ l j a
jeleman	dZ @ l @ m a n
jelatong	dZ @ l a t o NG
jejauh	dZ @ dZ a u h
jeeridyne	dZ i r i d i n 
jbk	dZ e b i k e
jaxmoel	dZ e KK s m o e l
jasmy	dZ a s m j
jarraw	dZ a r o
jarrau	dZ a r aw
jarit	dZ a r i t
jarat	dZ a r a t
jaraiie	dZ a r a i
jaragan	dZ a r a g a n
japri	dZ a p r i
japin	dZ a p i n
japan-malaysia	dZ a p a n m a l a j s j @
janudin	dZ a n u d i n
janta	dZ a n t a
jangin	dZ a NG i n
janggot	dZ a NG g o t
janggin	dZ a NG g i n
jangga	dZ a NG g @
jamey	dZ a m e
jamboree	dZ a m b o r i
jalit	dZ a l e t
jaliling	dZ a l i l i NG
jalaika	dZ a l aj k a
jakpaw	dZ a KK p o
jagu	dZ a g u
jacklyn	dZ e k l i n
jabidah	dZ a b i d a h
jabiah	dZ a b j a h
jabeng	dZ a b e NG
iyia	aj w aj aj e
iyatuju	i j a t u dZ u
iyas	i j a s
iyanya	i j @ NJ @
iyakena	i j a k @ n a
iyaenti	i j a e n t i
iwrm	aj d a b l j u a r e m
itung	i t u NG
iswandie	i s w a n d i 
iswandi	i s w a n d i
issu	i SS u
isqc	aj e s k j u s i
ismandy	i s m a n d i
isamail	i s a m aj e l
iqa	aj k j u e
ipul	i p u l
ipgks	aj p i dZ i k e e s
ipang	i p a NG
inustri	i n @ s t r i
intias	i n t j a s
interhill-petipun	i n t @ r h i l p @ t i p u n
integeriti	i n t @ g @ r i t i
integerasi	i n t @ g @ r a s i
institusyen	i n s t i t u SS @ n
inodnesia	i n o d n i SS @
injisi	i n dZ i s i
inja	i n dZ a
inginka	i NG i n k a
inggot	i NG g o t
inggong	i NG g o NG
infrastrukur	i n f r a s t r u k o
infotek	i n f o t e KK
infosihat	i n f o s e h a t
infastruktur	i n f @ s t r u KK t o
industrialised	i n d a s t r j @ l i s d
industi	i n d u s t i
indusrti	i n d @ s a r t i aj
indonesia-malaysia	i n d o n e s j @ m a l a j s j @
indinina	i n d i n i n a
indik	i n d e KK
independant	i n d i p e n d @ n t
indau	i n d aw
indam	i n d i e e m
indai-indai	i n d aj i n d @ i
inau	i n aw
imtce	aj e m t i s i i
impol	i m p o l
imeb	i m e b
imbat	i m b a t
imau	i m aw
ilaenti	i l a e n t i
ijuk	i dZ o KK
iju	aj dZ e j u
ijit	i dZ e t
ijisi	i dZ i s i
ijinnsi	i dZ i n s i
ijinir	i dZ i n e
ijin-ijin	i dZ i n i dZ i n
iha	aj e tS e
ih	i h
iginsi	i g i n s i
iev	aj i v i
idealogi	aj d j @ l o dZ i
icssst	aj s i e s e s e s t i
ics	aj s i e s
icograda	aj s i o g r a d @
ice-breaking	aj s i i b r e k i NG
ibrahin	i b r a h i n
ibost	i b o s t
ibat	i b a t
iabn	aj e b i e n
i-smart	i s m a t
hydroelektrik	h aj d r o i l e KK t r i KK
huk	h u KK
hubat	h u b a t
huang-sekumang	h w a NG s @ k u m a NG
hrdq	e tS a r d i k j u
hplpk	e tS p i e l p i k e
hpk	e tS p i k e
howel	h aw @ l
hospital-bintulu	h o s p i t a l b i n t u l u
hosanna	h o s a n a
horwarth	h o r w @ t
horh	h o r h
honseng	h a n s e NG
hongbin	h o NG b i n
hirotaka	h i r o t a k a
hipeni	h i p @ n i
hini	h i n i
hildalyne	h i l d a l i n 
hiep	h aj i p i
hfu	e tS e f u
hexiang	h e KK s j a NG
hekter	h e KK t @
hdt	e tS d i t i
hbp	e tS b i p i
haswind	h a s w i n d
hasrina	h a s r i n a
hasnizam	h a s n i z a m
hasda	h a s d a
haroni	h a r o n i
haripia	h a r i p j a
harilima	h a r i l i m @
handeri	h e n d @ r i
hamri	h a m r i
hamodal	h a m o d a l
halel	h a l e l
hajibah	h a dZ i b a h
hailee	h aj l i
haemodialysis	h e m o d aj l @ s i s
hadie	h a d i
gynaecology	g j n a i k a l @ dZ i
gymkhana	dZ i m x a n @
guyut	g u j u t
gutong-ruyong	g u t o NG r u j o NG
guring	g u r i NG
gurantee	g u r @ n t i
guntor	g u n t @
gundai	g u n d a i
gunasagran	g u n a s a g r a n
gumpul	g u m p u l
gumeh	g u m @ h
guek	g w e KK
gsps	dZ i e s p i e s
grunsin	g r @ n s i n
grogo	g r o g o
gree	g r i
goverment	g a v @ r m @ n t
goretti	g o r @ t i
goldane	g o l d e n
goheh	g o h e h
goebilt	g o @ b i l t
go-karters	g o k a r t @ s
gnoh	g n o h
glenreagh	g l e n r @ a GG
ginau	g i n aw
gimong	g i m o NG
giluk	g i l o KK
ggrgc	dZ i dZ i a r dZ i s i
gerunung	g @ r u n o NG
germpung	dZ @ m p o NG
gerindang	g @ r i n d a NG
gerija-gerija	g @ r i dZ a g e r i dZ a
gerempung-gerempung	g @ r @ m p o NG g @ r @ m p o NG
gerempun	g @ r @ m p u n
gerapitka	g @ r a p e t k a
geraman	g @ r a m a n
gerakrama	g @ r a k r a m @
geraga	g @ r a g @
geogre	dZ i o g r
gentutung	g @ n t u t o NG
gentutng	g @ n t u t NG
gemong	g @ m o NG
gelu	g @ l u
geligau	g @ l i g aw
gelan	g @ l a n
geguchur	g @ g u tS o
gegenung	g @ g @ n o NG
gegaring	g @ g a r i NG
geganjang	g @ g a n dZ a NG
gbcrl	dZ i b i s i a e l
gazzette	g a z @ t
gawaku	g a w @ k u
garit	g a r e t
garan	g a r a n
gapur	g a p u r
gansol	g a n s o l
ganing	g a n i NG
gangsterism	g e NG s t @ r i s m
gancha	g a n tS a
galami	g a l a m i
gaint	g e n t
gahru	g a h r u
gahat	g a h a t
fwi	e f d a b l j u aj
fsca	e f e s s i e
frd	e f a r d i
fpu	e f p i j u
foundary	f aw n d r i
flx	e f e l e KK s
flouride	f l u r aj d
filipin	f i l i p i n
fieldforce	f i l d f o s
fhazlly	f h a z l i
ferdiansyah	f @ d i a n SS a h
fellyna	f e l i n a
fccasw	e f s i s i e e s d a b l j u
falkulti	f a l k u l t i
fakluti	f a k l u t i
faizulnuddin	f aj z u l n u d i n
fadzuri	f a d z u r i
ezaimah	e z aj m a h
eyomus	aj o m @ s
exodust	e KK s @ d @ s t
ex-sergeant	e KK s s @ dZ @ n t
ex-pph	e KK s p f
ex-pengereja	e KK s p @ NG @ r @ dZ a
ex-pengari	e KK s p @ NG a r i
ex-pengarang	e KK s p @ NG a r a NG
ex-pengajar	e KK s p @ NG a dZ a
ex-pegawai	e KK s p @ g a w aj
ex-konselar	e KK s k o n s @ l a
ex-kepala	e KK s k @ p a l @
ex-iban	e KK s i b a n
ex-gratia	e KK s g r e SS @
ex-chairman	e KK s tS e r m e n
everet	e v @ r @
etpm	i t i p i e m
etong	e t o NG
ethylhexyl	e t @ l h e KK s @ l
etb	i t i b i
etam	e t @ m
estacy	i s t e s i
eshwari	e SS w a r i
erung	@ r o NG
eropa	e r o p a
ereta	e r e t a
enyau	e n j aw
entyi	e n t w aj aj
entubuh	@ n t u b o h
entubai	@ n t u b aj
entiri	e n t i r i
entira	e n t i r a
enterprais	e n t @ p r e
entar	@ n t a
entak	@ n t a KK
entadu	@ n t a d u
entabai-rantau	@ n t a b aj r a n t aw
ensurukka	i n SS o r o KK k a
ensu	e n s u
ensium	i n SS j @ m
ensiang	@ n s j a NG
enseriban	e n s @ r i b a n
ensengai	e n s @ NG aj
ensearch	e n s @ tS
ensawang	e n s a w a NG
enol	i n o l
engr	e n g r
engkuah	@ NG k w a h
engkillili	@ NG k i l i l i
engkilil	@ NG k i l e l
engkili	@ NG k e l i
engkerumung	@ NG k @ r u m o NG
engkerumong	@ NG k @ r u m o NG
engkerebai-nanga	@ NG k @ r @ b aj n a NG @
engkemanku	@ NG k @ m a n k u
engkelebat	@ NG k @ l @ b a t
engkechit	@ NG k @ tS e t
engkatak	@ NG k a t a KK
engkat	@ NG k a t
engkasi	@ NG k a s i
engkanjung	@ NG k a n dZ o NG
engkani	@ NG k a n i
engkalat	@ NG k a l a t
engkahka	@ NG k a h k a
engik	e n dZ i KK
enghgau	@ NG h g aw
enggua	@ NG g u w @
enggaupengawa	@ NG g a u p @ NG a w @
enggaun	@ NG g a u n
enggaum	@ NG g a o m
enggauka	@ NG g a u k a
engawa	e n g a w a
ene	i n
endi	e n d i
endawie	e n d a w i 
endan	e n d @ n
enchuba	i n tS u b a
enchama	i n tS a m a
enchabar	i n tS a b a
en-bloc	e n b l o k
empuku	@ m p u k u
empol	@ m p o l
empin	e m p i n
empias	e m p j a s
emperang	@ m p @ r a NG
empeni	@ m p @ n i
empelanjau	@ m p @ l a n dZ aw
empayaka	e m p a j @ k a
empauk	e m p aw o KK
empasa	@ m p a s @
empan	@ m p a n
empam	@ m p a m
emosyen	e m o SS @ n
embawang	@ m b a w a NG
embang	@ m b a NG
embam	@ m b a m
embaloh	@ m b a l o h
emansang	@ m a n s a NG
eliminasi	e l i m i n a s i
eleketrik	i l e k e t r i KK
ekskutif	e KK s k u t i f
eksiden	e KK s i d @ n
ekonomiku	e k o n o m i k u
ekau	e k aw
ejau	@ dZ aw
ega	e g a
effi	e f i
edok	e d o KK
ednggau	e d NG g aw
edid	e d i d
ecumienical	i k j u m i e n @ k @ l
ecce	e k @
ebong	@ b o NG
ebau	i b aw
e-waste	i w e s t
e-request	i r i k w e s t
e-recruitment	i r @ k r u t m @ n t
e-library	i l aj b r @ r i
e-goverment	i g o v @ m @ n t
e-form	i f o m
e-contractor	i k @ n t r e KK t @
e-community	i k o m j u n i t i
e-booking	i b u k i NG
dzulhizam	z u l h i z a m
dyg	d i w aj dZ i
dwira	d w i r @
dusin	d u s i n
duranda	d u r a n d a
dunuk	d u n o KK
dunju	d u n dZ u
dunhered	d a n @ d
dungon	d u NG o n
dulhadi	d u l h a d i
dugulu	d u g u l u
dugu	d u g u
duah	d w a h
dua-partiga	d u w @ p a r t i g @
drluhattechnology	d r l u h a t e k n o l @ dZ i
dpli-bahasa	d i p i e l i b a h a s @
dpci	d i p i s i aj
doulos	d o l o s
dormani	d o r m a n i
doriek	d o r i e KK
doradami	d o r a d a m i
dominika	d @ m i n i k @
dohan	d o h a n
dodge-wan	d a dZ w a n
dmo	d i e m o
dlb	d i e l b i
dkena	d i k @ n @
djual	dZ u @ l
diulun	d i u l u n
ditutu	d i t u t u
ditusoi	d i t u s oj
ditusi	d i t u s i
ditungkap	d i t u NG k a p
